0,,104
1,מפרודו,1
2,ומתעמק,1
3,למפיק,1
4,והמשמעות,2
5,ולעזור,3
6,סווינטון,1
7,חינוכית,1
8,מושללללם,1
9,ומגלים,2
10,שמחים,4
11,המגדל,2
12,הניו,1
13,במושגים,2
14,המרבית,1
15,להצטרך,1
16,משחרר,3
17,סצנה,13
18,שמחיק,1
19,חינוכים,1
20,לאידיוטים,1
21,סצנט,1
22,המגבת,1
23,ווווווואיי,1
24,סצנת,9
25,סלבריטי,1
26,שתעבור,1
27,ללמוד,25
28,להצטרף,3
29,והמתחרים,1
30,משחקן,3
31,שמחכה,2
32,לארמגדון,1
33,במדורה,1
34,השיבעים,1
35,מגורען,2
36,משחקם,5
37,משחקת,82
38,סילביה,1
39,ומדומים,1
40,תלושות,2
41,נובעת,6
42,כלפיי,2
43,משחקי,11
44,האינפורמציה,1
45,ועטור,1
46,משחקה,11
47,משחקו,14
48,בתגובותיהם,1
49,מהשורה,6
50,הנכה,1
51,הנכד,2
52,האינסטינקט,1
53,כמתנה,1
54,מהדורי,1
55,ובנאלי,2
56,בשפתי,1
57,שמחלק,1
58,הקודמיות,1
59,דחוייה,1
60,וצוותו,1
61,בסיומו,5
62,מוכרים,27
63,מהדורת,1
64,מפתים,1
65,מפתיע,170
66,למשרתות,1
67,לרובנו,1
68,מוזיקליים,1
69,הנוף,7
70,היפפיה,1
71,בקילביל,1
72,ודייויו,1
73,ללכתתת,1
74,מלבקר,1
75,להיגמר,3
76,מתוצאות,1
77,מהירים,3
78,במשותף,1
79,מירוצי,1
80,מועלות,1
81,לאנושיות,1
82,תכתבו,1
83,כשתצא,1
84,לפאשלות,1
85,בתחכום,3
86,ושכולם,2
87,שלביו,1
88,ברוסנן,3
89,הורידים,1
90,שהתלוותה,1
91,שבבית,3
92,החמים,5
93,היעמום,1
94,מחפים,5
95,גולובוס,1
96,מחפיד,1
97,לאמריקה,5
98,שלבים,2
99,תוחמת,1
100,החמיא,1
101,להזדהות,26
102,לאמריקן,2
103,הנחה,3
104,דייייי,2
105,מחפיר,4
106,שמחנך,1
107,תכתבי,2
108,היפני,2
109,לספיילר,1
110,במדורת,1
111,ולצערי,7
112,הנזק,1
113,מוכרות,2
114,במולאן,1
115,שמימית,2
116,אלפרד,2
117,אפלוליים,1
118,לארצינו,1
119,אדרת,1
120,שיתוף,8
121,ששרשרת,1
122,הנעה,1
123,שיוצאות,2
124,מתיקות,1
125,תנסו,8
126,וכדאיי,1
127,נוביה,1
128,ומאושר,1
129,מגוריה,1
130,בקורות,1
131,היזדהות,2
132,מאזורי,1
133,אהוד,1
134,אהוב,6
135,שפתוח,1
136,חייזרים,4
137,לקודמים,5
138,תכתוב,1
139,טרחתם,1
140,להציגו,1
141,לקודמיו,1
142,שלמחרת,2
143,לקודמיי,1
144,מתפקדת,1
145,שיכולים,9
146,מסתורין,3
147,מזילים,1
148,מהירות,4
149,הנני,2
150,שמצפון,1
151,מסתורית,2
152,התקשתי,1
153,עיבוד,10
154,אההה,2
155,הנפח,2
156,המגיב,2
157,היהודיים,2
158,ושהסרט,2
159,משחקים,62
160,הדגים,1
161,מהמוסד,1
162,מבדרים,1
163,המגיע,1
164,המטרידן,1
165,שמחפס,1
166,שמחפה,1
167,שתצתרכו,1
168,והחשיפה,1
169,החמצת,1
170,אפלוליות,1
171,ואפשר,19
172,אגלסיאס,1
173,והקרינו,1
174,מחשבותיהם,1
175,גגגגגגגגגדול,1
176,הזוגיות,6
177,מוסקונה,1
178,שמחפש,54
179,שריריים,1
180,הנער,2
181,שרכשתי,1
182,ממערכת,1
183,החמצה,22
184,הבאטמן,1
185,שישתפר,1
186,אנטישמי,4
187,הנעל,2
188,והסבירו,1
189,הדגיש,1
190,שנסתכל,1
191,לבניית,1
192,לשפוט,7
193,אהבצ,1
194,שפתיי,1
195,ונגוס,1
196,מתפקיד,1
197,לשפוך,4
198,והתכוננתי,1
199,אהבת,15
200,גדוללללללללללל,1
201,רלוונטי,6
202,דימיונכם,1
203,אהבו,21
204,וסקרלט,1
205,וכריזמטיים,1
206,הזוגיים,1
207,אהבה,154
208,לבמאי,12
209,והכאילו,1
210,האיטית,1
211,שמצפים,9
212,בבורסה,1
213,והתכוונתי,1
214,כקפטן,1
215,המגזר,1
216,כלפיה,1
217,כלפיו,3
218,שיוצאים,11
219,שמחקי,1
220,ששחקן,2
221,ומתעלפת,1
222,דימיונית,2
223,בהיעדר,1
224,וההלצות,1
225,מקבלת,2
226,בסיפריות,2
227,הדגול,3
228,ועשרים,3
229,להיגרר,1
230,דומעת,1
231,בוגרים,2
232,מוםתע,1
233,הסיסטמטית,1
234,אהדה,1
235,מעפאן,1
236,מבדרות,2
237,ששנאתי,2
238,שניבנת,1
239,מלבלב,1
240,תיפול,1
241,הנמר,1
242,מהמוכר,2
243,אמביולנטיים,1
244,שבגזעים,1
245,תרבותי,3
